,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
65,SIDO,535.0,173.2,15.79,101.18382827060104,n.a,769.49,+69.09 B,18.44,3.08891454965358,5.2874061907325975,4.16
66,BWPT,135.0,208.61,2.13,-253.63803829352892,107.52,2.52,-616.27 B,-93.84,0.6471405972868031,-0.5322545502570395,3.69
67,SUGI,386.0,176.1,1.45,n.a,11.02,-0.17,-189.87 B,310.47,2.1919363997728563,n.a,166.25
68,SCMA,3350.0,243.76,41.64,135.35562928067066,13.1,28.12,+1.03 T,32.14,13.743025927141451,24.74961712197066,12.62
69,ICBP,13875.0,2537.02,17.57,541.9849868866694,24.19,13.15,+2.80 T,27.17,5.469014828420746,25.600340112190786,2.54
70,SRIL,375.0,210.14,11.04,-83.9805038577964,178.58,3.15,-1.50 T,8.79,1.7845246026458552,-4.465322101841457,0.46
71,KIJA,239.0,214.1,6.14,n.a,61.93,n.a,-184.91 B,62.59,1.1163007940214853,n.a,2.08
72,PNBN,765.0,1168.01,8.1,n.a,90.82,n.a,+3.04 T,12.71,0.654960145889162,n.a,1.63
73,ASII,5975.0,2477.87,16.03,-448.11459908380067,73.29,14.66,+8.65 T,14.5,2.411345227957883,-13.333642805247306,1.49
74,JSMR,5775.0,1421.41,6.54,-2302.0122936966095,135.14,1.79,+1.53 T,31.91,4.06286715303818,-2.508674699875911,5.58
75,ASRI,334.0,301.25,9.77,n.a,107.98,n.a,-1.33 T,19.24,1.1087136929460581,n.a,2.99
76,TOTL,615.0,247.69,20.18,97.31162454049444,n.a,341.89,+204.32 B,10.83,2.4829423876619967,6.31990271361752,1.81
77,ROTI,1200.0,220.8,11.82,-139.06637828666845,87.01,3.63,-96.00 B,24.64,5.434782608695652,-8.628972831422601,3.73
78,PGAS,2560.0,1757.13,18.04,-1040.794410928264,68.39,12.57,+2.63 T,11.57,1.4569212295049312,-2.459659634141181,3.61
79,INCO,1485.0,2708.76,8.69,252.5844933389946,10.23,19.69,+2.84 T,12.82,0.5482213263633544,5.879220772302027,2.92
80,SIMP,327.0,884.68,4.59,-510.97676117605874,69.97,2.79,-383.14 B,14.54,0.36962517520459376,-0.6399508252535404,0.73
81,AISA,1160.0,1026.35,7.8,-105.60815897005807,101.02,2.25,-343.81 B,11.27,1.1302187362985336,-10.983999828354948,1.22
82,SSMS,1775.0,299.8,22.77,-108.9811405256981,23.35,10.71,+822.51 B,27.99,5.9206137424949965,-16.28722172880407,7.27
83,PTBA,4345.0,4345.62,23.79,495.41346615561156,26.37,47.91,+1.25 T,5.02,0.9998573276080284,8.770451949392946,2.08
84,ANTM,294.0,1187.95,-4.53,-429.4682875048231,67.19,-0.44,-1.24 T,-2.67,0.24748516351698302,-0.6845674257070687,1.08
85,INTP,21100.0,6188.53,22.01,2205.2930585453714,0.51,268.52,+1.84 T,16.89,3.409533443321758,9.567889364290533,4.6
86,BBRI,11250.0,4355.87,24.9,n.a,58.87,n.a,+27.59 T,11.6,2.582721706570674,n.a,3.49
87,EXCL,3660.0,1594.59,-2.49,-4153.206896643096,227.1,1.04,+55.42 B,-63.32,2.295260850751604,-0.8812467307993398,1.76
88,ISAT,5350.0,2298.79,-6.06,-5303.659954758789,201.33,0.76,+939.92 B,-16.35,2.3273113246534045,-1.008737371105331,0.91
89,ADRO,485.0,1333.06,3.75,-615.6076470278296,68.54,2.95,+5.80 T,8.92,0.36382458403972817,-0.7878394661625683,0.91
90,BJBR,775.0,743.89,12.44,n.a,176.32,n.a,+1.56 T,5.91,1.041820699296939,n.a,0.77
91,LPPF,16425.0,237.11,206.73,-306.8945826365351,388.07,8.25,+1.43 T,28.63,69.27164607144363,-53.520006312567084,5.52
92,BBCA,13000.0,3488.3,21.8,n.a,14.92,n.a,+13.06 T,18.43,3.726743686036178,n.a,6.15
93,TARA,540.0,n.a,n.a,n.a,20.54,0.51,-160.80 B,n.a,n.a,n.a,55.15
94,MAPI,3895.0,1776.65,1.88,-426.8207677717341,134.84,1.37,-432.56 B,-680.54,2.19232825823882,-9.12561031257754,0.71
95,SAME,2505.0,185.51,19.65,-168.30416211746754,92.6,3.87,+21.52 B,59.17,13.50331518516522,-14.88376739163254,8.1
96,INDF,5650.0,2931.37,7.99,-489.0889329362474,104.8,4.12,+4.05 T,20.05,1.927426425186858,-11.552091285485039,0.93
97,MLPL,230.0,751.83,18.19,-220.50483821049883,39.25,-2.14,-1.34 T,2.53,0.30592022132662966,-1.0430610133843725,0.49
98,GJTL,525.0,1445.73,2.27,-1679.3392930873795,106.47,1.86,-1.27 T,-2.64,0.36313834533419104,-0.3126229477039237,0.38
99,WTON,915.0,254.83,20.43,36.0257144421811,26.2,8.23,-451.61 B,39.12,3.5906290468155238,25.398524752882135,3.24
