,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
338,GREN,139.0,101.74,0.05,-1.022292277154827,33.96,1.38,-29.70 B,2479.38,1.3662276390800079,-135.96894264608468,5.17
339,CLPI,625.0,1290.02,19.69,787.2362740290785,36.78,11.02,+58.79 B,4.27,0.4844886125796499,0.7939166685006109,0.32
340,KBLI,117.0,247.22,7.53,102.43962497539506,3.98,11.48,+83.56 B,5.34,0.47326268101286306,1.1421361609641014,0.23
341,KBLM,126.0,259.24,7.37,7.787569778021941,29.35,2.38,-2.33 B,10.57,0.4860361055392686,16.179630307210456,0.19
342,TRAM,50.0,230.45,-22.32,-598.6127862565584,179.51,0.18,-151.12 B,-0.08,0.21696680407897592,-0.08352644839525795,2.88
343,BDMN,3000.0,3512.72,5.13,n.a,90.2,n.a,+7.23 T,13.02,0.8540390352775058,n.a,1.5
344,VOKS,980.0,592.93,-14.76,131.92772813146183,86.59,-0.36,-118.45 B,-14.73,1.6528089319143915,7.428309528861596,0.33
345,TELE,700.0,384.93,15.52,272.6588786546072,70.16,3.51,-983.09 B,14.31,1.818512456810329,2.5673104923413503,0.45
346,WINS,155.0,779.42,6.53,-458.0563927561082,77.8,3.76,+55.55 B,79.72,0.1988658233045085,-0.338386282674434,1.55
347,DSNG,515.0,211.79,15.99,-279.00969384702717,157.5,4.08,+248.69 B,23.22,2.4316539968837056,-1.845814003445914,1.67
348,KBLV,1850.0,4490.05,122.19,-1839.8232386034501,24.83,3.4,-1.11 T,0.45,0.4120221378381087,-1.0055313799624983,2.23
349,TMPO,69.0,200.03,8.48,-77.2241619605166,72.47,2.19,-52.47 B,3.9,0.3449482577613358,-0.8935027360384763,0.28
350,TMPI,425.0,173.72,0.32,24.89692738584134,12.32,-18.18,-23.24 B,-352.77,2.4464655767902372,17.070379545778557,21.94
351,RODA,595.0,159.8,22.49,39.46283657634996,4.41,15.93,+152.88 B,34.36,3.723404255319149,15.077476725446111,9.19
352,ICBP,13875.0,2537.02,17.57,541.9849868866694,24.19,13.15,+2.80 T,27.17,5.469014828420746,25.600340112190786,2.54
353,KIJA,239.0,214.1,6.14,n.a,61.93,n.a,-184.91 B,62.59,1.1163007940214853,n.a,2.08
354,MAYA,2000.0,987.45,12.66,n.a,33.89,n.a,+331.12 B,13.28,2.025419008557395,n.a,1.79
355,IKAI,114.0,155.78,-8.37,-236.15515480830018,81.3,-0.29,-35.53 B,-1.72,0.7318012581846193,-0.4827334812680245,0.36
356,AISA,1160.0,1026.35,7.8,-105.60815897005807,101.02,2.25,-343.81 B,11.27,1.1302187362985336,-10.983999828354948,1.22
357,SQBI,335000.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
358,SRAJ,247.0,133.62,-6.48,-39.2527478938522,37.28,-1.67,-141.34 B,-23.46,1.8485256698099086,-6.2925530887147225,7.31
359,AKKU,275.0,7.13,-16.81,5.98967349197565,n.a,-4.04,-48.90 B,-16.52,38.569424964936886,45.91235237921011,16.51
360,ASRI,334.0,301.25,9.77,n.a,107.98,n.a,-1.33 T,19.24,1.1087136929460581,n.a,2.99
361,ASRM,2300.0,1253.3,26.91,n.a,5.83,n.a,+22.72 B,6.09,1.8351551902976144,n.a,0.44
362,MBTO,133.0,426.7,0.65,248.02932199417856,7.5,0.99,-34.04 B,46.5,0.3116943988750879,0.5362269224084788,0.32
363,PGAS,2560.0,1757.13,18.04,-1040.794410928264,68.39,12.57,+2.63 T,11.57,1.4569212295049312,-2.459659634141181,3.61
364,WICO,52.0,97.9,37.77,38.94191393643819,4.06,-4.7,-45.52 B,-32.57,0.5311542390194075,1.3353221437671372,0.25
365,PANS,3860.0,1276.76,31.21,n.a,5.38,n.a,+150.70 B,122.79,3.0232776716062535,n.a,5.52
