,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
0,GZCO,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
1,MIKA,2185.0,213.61,30.13,141.09142499334317,n.a,38.25,+252.31 B,57.26,10.228921866953794,15.486412445710931,n.a
2,RAJA,740.0,773.41,9.7,-426.30667707446867,74.94,5.81,+373.40 B,8.28,0.9568016963835482,-1.735839572296294,0.59
3,MGNA,52.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
4,ACES,755.0,144.36,25.99,94.488931775807,1.13,16.31,+338.24 B,22.53,5.2299806040454415,7.990353852146211,2.88
5,SKLT,390.0,240.58,10.69,-7.710749031683789,44.69,3.54,+1.04 B,14.03,1.6210823842380913,-50.57874382857927,0.3
6,TINS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
7,MEGA,3100.0,1036.1,9.17,n.a,96.34,n.a,+3.66 T,26.55,2.9919891902326032,n.a,1.89
8,EKAD,416.0,380.88,16.9,227.551953874461,31.62,13.37,-8.00 B,7.42,1.0922075194286915,1.8281539354722687,0.68
9,ALDO,730.0,229.89,9.25,56.1308126780707,69.86,4.21,-15.59 B,40.73,3.1754317282178435,13.005334595577626,0.82
10,OCAP,575.0,-281.96,n.a,n.a,n.a,n.a,-24.84 B,-3.0,-2.0392963540927793,n.a,9.4
11,BIKA,1975.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
12,MDRN,131.0,295.45,2.55,-98.85215054119799,61.74,1.3,-450.25 B,44.62,0.44339143679133525,-1.3252114322530997,1.98
13,SRSN,50.0,56.57,4.49,34.56293238227244,29.37,3.69,-6.95 B,34.5,0.8838607035531201,1.446636513562875,0.64
14,SIPD,850.0,1165.09,0.11,-195.27896802216662,94.92,0.06,-99.26 B,-4.54,0.7295573732501353,-4.3527472958762985,0.2
15,BBTN,1345.0,1244.16,4.56,n.a,168.07,n.a,+2.28 T,9.09,1.0810506687242798,n.a,0.94
16,SMGR,11050.0,4259.24,21.62,49.12348723795268,16.28,16.5,+3.79 T,14.52,2.5943595571040845,224.94331370397495,3.56
17,WIKA,2850.0,679.04,12.91,-241.65488771545984,75.99,4.98,-1.21 T,28.99,4.197101790763431,-11.793678277907523,1.81
18,LION,1050.0,882.57,11.4,670.8295610549842,7.88,144.83,+10.38 B,10.12,1.189707331996329,1.5652261929970872,1.28
19,INRU,400.0,1358.17,0.63,-1533.0988261516784,92.49,1.53,-370.10 B,73.48,0.2945139415537083,-0.2609094685722665,1.25
20,IKBI,1040.0,2954.76,2.99,1707.6219726684335,n.a,n.a,+68.36 B,15.64,0.35197444124057453,0.6090340934034908,0.18
21,BYAN,8000.0,526.8,-21.07,-1213.1858266706067,390.41,-0.22,+391.10 B,-15.07,15.186028853454824,-6.594208260703732,2.26
22,GSMF,100.0,159.03,8.22,n.a,62.5,n.a,-92.91 B,6.66,0.6288121738036848,n.a,0.42
23,MBSS,260.0,1930.34,6.36,-49.96783083481283,34.89,6.02,+307.55 B,11.13,0.13469129790606837,-5.203347747064032,1.09
24,RICY,158.0,542.33,2.14,51.51429345140711,168.98,1.32,-109.33 B,-3.94,0.29133553371563436,3.067109910942285,0.09
25,ASSA,101.0,253.62,2.4,-486.8495233088832,173.82,1.31,-293.77 B,7.41,0.3982335777935494,-0.20745629843396238,0.46
26,STTP,3030.0,688.0,12.93,-68.45383449490468,72.12,3.53,-33.83 B,29.38,4.40406976744186,-44.26340792093299,1.74
27,HDFA,182.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
28,RUIS,218.0,424.73,10.08,-264.70090879348356,249.23,1.84,+27.98 B,3.13,0.5132672521366515,-0.8235710296336042,0.09
29,GIAA,317.0,483.27,-21.48,-758.5660892044027,129.39,-4.92,-3.46 T,-6.74,0.655948020775136,-0.4178937135622225,0.3
30,BLTZ,4800.0,1444.85,-11.64,-202.78087303555722,n.a,-8.49,-43.24 B,-51.11,3.32214416721459,-23.6708715577841,2.53
31,BSIM,385.0,236.24,5.24,n.a,24.25,n.a,-218.89 B,28.27,1.6296986115814425,n.a,2.23
32,BLTA,196.0,-1522.38,-9.34,n.a,n.a,0.15,+253.93 B,n.a,-0.12874577963451964,n.a,n.a
33,TMAS,1915.0,591.67,21.74,-699.6791743686082,149.21,3.53,+240.12 B,7.56,3.236601483935302,-2.7369686995873495,1.5
34,DKFT,399.0,190.4,-3.62,118.76781732212899,0.22,-126.74,-127.68 B,n.a,2.0955882352941178,3.3594959391887196,n.a
35,APOL,59.0,-568.1,38.06,n.a,n.a,-0.89,-153.33 B,n.a,-0.10385495511353635,n.a,0.81
36,SOBI,1900.0,1111.52,11.27,-130.57995453368645,79.03,6.43,-541.14 B,21.13,1.7093709514898519,-14.550472212868218,0.91
37,FMII,715.0,123.93,0.77,48.70671469159216,43.54,0.91,+6.87 B,26.19,5.769385943677882,14.679700828260227,27.46
38,SGRO,1680.0,1636.76,8.57,-1125.0933993105757,56.77,3.52,-354.02 B,14.36,1.0264180454067793,-1.4932093646887048,1.22
39,BIRD,7025.0,1620.07,19.06,-830.916655365448,49.41,3.63,-1.13 T,n.a,4.3362323850204,-8.45451821748634,4.33
40,CPRO,50.0,30.56,-10.94,n.a,450.85,0.25,-129.21 B,-2.04,1.6361256544502618,n.a,0.44
41,ELSA,224.0,341.05,14.85,20.262691532306015,17.07,12.55,+54.13 B,5.02,0.6567951913209207,11.054799883957344,1.18
42,BABP,66.0,86.03,-5.39,n.a,19.15,n.a,-16.15 B,n.a,0.7671742415436476,n.a,1.0
43,BIPP,86.0,152.4,3.93,n.a,24.94,n.a,+14.44 B,2.6,0.5643044619422573,n.a,2.88
44,CKRA,51.0,167.93,-25.56,41.07078674036425,0.08,-111.76,-5.76 B,-0.78,0.30369796939200855,1.2417585356327578,33.21
45,PWON,479.0,140.88,31.11,n.a,74.46,n.a,+903.23 B,9.93,3.4000567859170925,n.a,6.07
46,RIMO,185.0,-187.22,n.a,n.a,n.a,-723.66,-3.31 B,n.a,-0.9881422924901185,n.a,525.85
47,MBAP,1155.0,806.5,n.a,350.36327141535094,9.65,26.51,-54.63 B,4.07,1.4321140731556106,3.29657842083214,1.0
48,SIDO,535.0,173.2,15.79,101.18382827060104,n.a,769.49,+69.09 B,18.44,3.08891454965358,5.2874061907325975,4.16
49,BSSR,1110.0,625.84,2.55,-84.59469562907438,39.07,3.86,+38.18 B,10.07,1.7736162597469,-13.121390079433109,1.62
50,DYAN,65.0,166.54,-1.09,-95.38884163366853,67.26,0.61,-170.22 B,-2.27,0.3902966254353309,-0.6814214208578621,0.63
51,PYFA,110.0,181.8,2.42,14.220383029904294,49.34,1.19,-2.04 B,19.95,0.605060506050605,7.735375324889566,0.32
52,MTLA,207.0,268.0,12.01,n.a,43.94,n.a,-195.85 B,6.56,0.7723880597014925,n.a,2.98
53,PSAB,1305.0,763.44,3.94,-1038.4770724215907,161.21,2.21,+9.63 B,13.3,1.709368123231688,-1.2566478689384188,0.86
54,APLN,323.0,328.46,7.47,n.a,100.65,n.a,+82.08 B,8.73,0.9833769713207088,n.a,1.24
55,SMDM,92.0,351.3,2.15,n.a,20.47,n.a,-222.13 B,7.12,0.2618844292627384,n.a,1.35
56,SCCO,3505.0,4229.91,18.1,2430.2607048718714,43.6,4.08,+13.10 B,5.25,0.8286228312186311,1.4422321000268121,0.22
57,POLY,54.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
58,MSKY,1260.0,137.45,-3.39,-569.4189688912326,192.21,1.39,-472.46 B,-12.01,9.16696980720262,-2.2127819212862905,3.45
59,BRPT,130.0,1507.88,-0.67,-595.4782046376351,97.72,0.69,-1.66 T,60.3,0.08621375706289625,-0.21831193650338315,0.07
60,FPNI,85.0,226.93,-5.82,-120.06568150116135,23.52,-1.06,-51.01 B,-5.39,0.3745648437844269,-0.7079458421195721,0.07
61,HOME,255.0,90.43,0.3,-13.195704994974777,12.52,1.2,+6.10 B,218.32,2.8198606657082825,-19.324469598032827,10.26
62,SMDR,4750.0,17453.33,4.23,-6639.198700593752,117.93,3.06,+640.37 B,4.37,0.27215436824949735,-0.7154477843199966,0.4
63,BSDE,1815.0,957.89,24.5,152.9240739068664,28.26,6.62,-64.23 B,15.12,1.8947895896188498,11.868634895937763,5.86
64,SMMT,127.0,122.95,-0.59,-52.63254745948581,54.36,-1.8,-126.36 B,-10.11,1.032940219601464,-2.4129555974420382,629.45
65,YPAS,680.0,230.43,-3.77,-34.16428002520643,80.23,0.31,+38.11 B,-84.81,2.9510046434926007,-19.903829365006242,0.79
66,ARTA,381.0,384.08,3.9,2.8333143680546415,2.29,10.8,+15.36 B,93.2,0.9919808373255572,134.4714883373832,1.61
67,SDPC,69.0,180.57,6.17,146.74497546726306,178.33,1.41,-9.07 B,3.66,0.3821232762917428,0.4702034926939834,0.04
68,SMMA,5000.0,2075.96,7.49,n.a,14.61,n.a,+1.94 T,44.24,2.4085242490221392,n.a,1.67
69,ARTI,170.0,211.19,1.71,-39.890493402931845,74.66,1.61,+67.30 B,78.52,0.8049623561721673,-4.26166701631987,0.44
70,AALI,16400.0,6885.12,20.85,-4412.168746010561,38.77,38.74,-348.65 B,34.41,2.3819483175311396,-3.7169929220927274,2.34
71,VINS,91.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
72,SMCB,1000.0,1035.0,5.62,-889.8679657011916,61.94,2.74,-1.13 T,-27.86,0.966183574879227,-1.1237622192771344,1.59
73,BTON,446.0,857.44,5.35,n.a,n.a,n.a,+7.10 B,5.32,0.5201530136219443,n.a,1.01
74,ZBRA,72.0,20.73,-68.22,-10.641765135758051,27.83,-19.06,-3.77 B,-9.44,3.4732272069464543,-6.765794873452747,8.57
75,AHAP,180.0,204.41,19.87,n.a,n.a,n.a,-10.00 B,n.a,0.8805831417249645,n.a,0.46
76,PGLI,76.0,116.49,1.98,15.719572001548041,7.57,-3.42,-4.98 B,14.95,0.6524165164391793,4.834737230283091,3.25
77,BBYB,255.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
78,BBLD,1200.0,654.07,5.24,n.a,216.2,n.a,+348.49 B,26.37,1.8346660143409725,n.a,5.17
79,YULE,78.0,197.55,0.05,n.a,n.a,n.a,+350.66 M,19.6,0.39483675018982534,n.a,12.0
80,CTTH,53.0,46.3,1.22,-29.59244915507045,158.31,0.49,-26.69 B,-1.78,1.144708423326134,-1.7909974170190923,0.4
81,CEKA,675.0,1024.45,7.69,612.821252163499,102.75,2.75,-214.12 B,4.06,0.6588901361706281,1.1014631062760727,0.12
82,MYOR,28775.0,5291.02,6.1,1058.0765665871688,114.84,2.11,-1.68 T,24.47,5.43845988108153,27.19557441179697,1.32
83,SRIL,375.0,210.14,11.04,-83.9805038577964,178.58,3.15,-1.50 T,8.79,1.7845246026458552,-4.465322101841457,0.46
84,MYOH,489.0,574.87,19.57,53.068465997854574,73.28,23.13,+203.88 B,3.34,0.8506270983004853,9.214511684203742,0.33
85,UNSP,50.0,218.21,-4.24,-929.2353285030957,248.55,0.46,-88.53 B,-0.52,0.22913706979515144,-0.053807683012380675,0.26
86,MITI,118.0,222.34,4.07,40.29352561812142,5.34,15.55,+11.08 B,n.a,0.5307187190788882,2.9285101809738694,2.18
87,LPPF,16425.0,237.11,206.73,-306.8945826365351,388.07,8.25,+1.43 T,28.63,69.27164607144363,-53.520006312567084,5.52
88,ADES,1015.0,530.28,9.97,-44.96004373219783,19.31,5.84,+41.49 B,26.47,1.9140831258957534,-22.57560081671172,1.4
89,JSMR,5775.0,1421.41,6.54,-2302.0122936966095,135.14,1.79,+1.53 T,31.91,4.06286715303818,-2.508674699875911,5.58
90,PTSP,8000.0,613.55,10.32,-237.93416862367135,47.49,0.95,-55.02 B,115.83,13.038872137560102,-33.62274551097872,3.34
91,TOTO,6850.0,1387.27,25.85,419.10154802117825,11.5,24.26,-12.80 B,27.85,4.937755447749898,16.34448746930864,1.92
92,IBFN,190.0,192.75,4.15,n.a,296.2,n.a,-500.88 B,n.a,0.9857328145265889,n.a,1.0
93,TOTL,615.0,247.69,20.18,97.31162454049444,n.a,341.89,+204.32 B,10.83,2.4829423876619967,6.31990271361752,1.81
94,ROTI,1200.0,220.8,11.82,-139.06637828666845,87.01,3.63,-96.00 B,24.64,5.434782608695652,-8.628972831422601,3.73
95,PADI,730.0,157.74,0.6,n.a,0.11,n.a,-34.80 B,-46.92,4.627868644605046,n.a,28.38
96,LPPS,93.0,452.84,19.58,n.a,n.a,n.a,+942.90 M,-157.29,0.2053705503047434,n.a,54.3
97,ISSP,190.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
98,PTSN,71.0,507.38,-5.12,191.0824906265993,n.a,-99.18,+29.50 B,-5.12,0.13993456580866412,0.37156727320842536,0.09
99,INCI,310.0,865.98,8.36,493.43084580351336,0.37,28.9,-19.41 B,2.33,0.3579759347790942,0.6282541973945495,0.39
100,PNSE,409.0,269.55,7.07,-21.40491824336053,36.71,5.12,+12.34 B,73.34,1.5173437210165088,-19.10775810259707,1.77
101,GLOB,600.0,454.06,17.7,397.6751933753124,87.16,2.43,-66.74 B,-9.56,1.3214112672334053,1.5087689903597792,0.28
102,JPRS,119.0,460.2,-1.93,270.967214929118,n.a,n.a,-77.04 B,-7.61,0.2585832246849196,0.43916752080553023,0.58
103,BBKP,670.0,816.52,8.32,n.a,84.05,n.a,+651.99 B,7.36,0.8205555283397835,n.a,0.85
104,UNTR,16225.0,10743.72,14.57,3380.0034171427524,7.08,31.92,+6.36 T,10.12,1.51018455432569,4.800291004946859,1.22
105,CNTB,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
106,WIIM,393.0,435.33,13.6,274.5857959363832,27.57,8.04,-75.23 B,7.06,0.9027634208531459,1.4312466479185666,0.79
107,ANTM,294.0,1187.95,-4.53,-429.4682875048231,67.19,-0.44,-1.24 T,-2.67,0.24748516351698302,-0.6845674257070687,1.08
108,SIMA,158.0,72.75,4.49,-16.88439858380695,n.a,305.04,+2.85 B,10.38,2.1718213058419242,-9.357751134324118,3.59
109,TOBA,645.0,866.74,12.03,-171.90955883643483,52.35,11.42,+118.64 B,9.21,0.7441678011860535,-3.751972865067335,0.31
110,EXCL,3660.0,1594.59,-2.49,n.a,227.1,1.04,+55.42 B,-63.32,2.295260850751604,n.a,1.76
111,ISAT,5350.0,2298.79,-6.06,-5303.659954758789,201.33,0.76,+939.92 B,-16.35,2.3273113246534045,-1.008737371105331,0.91
112,PPRO,178.0,151.11,n.a,96.66436477266677,n.a,n.a,+8.13 B,n.a,1.1779498378664548,1.8414231595957484,n.a
113,FORU,700.0,278.3,2.91,205.98987671243427,22.88,2.32,+7.82 B,64.47,2.515271289974847,3.398225248599052,0.81
114,CNTX,15000.0,2236.48,12.07,-20080.32042924212,926.62,3.46,+2.26 B,97.38,6.706968092717127,-0.7470000318399369,0.43
115,MLPT,1140.0,311.17,13.96,117.79250025584422,26.37,3.39,+89.44 B,20.01,3.6635922486100845,9.678035507557192,0.97
116,RBMS,65.0,398.38,2.31,n.a,n.a,n.a,+316.62 M,4.06,0.16316080124504242,n.a,0.58
117,ASII,5975.0,2477.87,16.03,-448.11459908380067,73.29,14.66,+8.65 T,14.5,2.411345227957883,-13.333642805247306,1.49
118,HEXA,1255.0,3901.57,8.49,3052.7443793238444,17.95,76.37,+379.86 B,6.44,0.32166538085950014,0.41110549854749756,0.61
119,IGAR,224.0,196.01,20.99,152.7804648704883,1.75,53.64,+20.04 B,7.0,1.1427988367940412,1.4661560310729802,0.42
120,BINA,280.0,145.64,6.49,n.a,2.84,n.a,+19.16 B,52.77,1.9225487503433125,n.a,2.89
121,NIKL,50.0,156.7,-17.57,1.8634191864523373,153.66,-4.25,-135.99 B,-0.94,0.3190810465858328,26.832395181672617,0.17
122,SQBB,0.0,34728.36,46.04,24343.43642416846,n.a,262.13,+146.99 B,n.a,0.0,0.0,n.a
123,ALKA,675.0,658.94,4.25,395.5232829985974,39.82,0.7,-24.96 B,-54.53,1.0243724770085287,1.7065999121027566,0.09
124,MLPL,230.0,751.83,18.19,-220.50483821049883,39.25,-2.14,-1.34 T,2.53,0.30592022132662966,-1.0430610133843725,0.49
125,PLIN,3960.0,620.24,11.37,-314.33488441783294,53.04,8.48,+574.24 B,69.94,6.3846253063330325,-12.598029033061849,8.75
126,TAXI,108.0,420.73,6.39,-655.8418379598635,195.89,1.84,-901.33 B,11.94,0.25669669384165616,-0.16467384931701998,2.82
127,NOBU,570.0,267.45,1.43,n.a,9.17,n.a,+3.22 B,119.36,2.131239484015704,n.a,8.11
128,COWL,600.0,223.4,7.33,n.a,123.13,n.a,+40.44 B,-26.73,2.685765443151298,n.a,5.36
129,TRUS,198.0,548.86,4.01,n.a,14.72,n.a,+85.09 B,7.96,0.3607477316619903,n.a,4.0
130,LINK,3885.0,1147.8,19.1,-85.49204747250334,5.99,15.02,+177.05 B,19.84,3.3847360167276532,-45.442823219896866,7.01
131,MICE,359.0,802.16,8.26,363.7453299378659,13.65,7.05,+19.13 B,7.69,0.447541637578538,0.9869542519248935,0.4
132,TRUB,50.0,36.74,-16.81,32.62715142390044,n.a,1.28,+48.10 B,n.a,1.360914534567229,1.5324659928287023,0.6
133,PDES,171.0,254.77,6.36,-170.41046119398808,59.04,2.59,+5.43 B,12.34,0.671193625623111,-1.0034595223901237,0.32
134,TBLA,515.0,470.51,11.23,-553.2768139144149,138.89,2.83,-243.85 B,10.71,1.0945569700962785,-0.9308179685976578,0.59
135,KAEF,885.0,319.11,13.03,128.92966608955535,18.8,10.63,+191.15 B,19.54,2.7733383472783677,6.864207647798246,1.8
136,IDPR,1405.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
137,RELI,425.0,422.42,3.22,n.a,19.52,n.a,+238.19 B,25.12,1.006107665356754,n.a,8.58
138,CTBN,5225.0,2378.5,15.78,711.9443170000451,15.5,32.8,+231.61 B,24.75,2.1967626655455117,7.339057107748033,1.72
139,DILD,483.0,436.98,7.61,n.a,48.45,n.a,-816.11 B,14.42,1.1053137443361252,n.a,3.62
140,MCOR,313.0,127.58,4.69,n.a,19.22,n.a,-17.03 B,65.24,2.453362596018185,n.a,1.32
141,MLBI,8300.0,292.49,103.15,-372.0817427758088,135.55,14.37,+468.65 B,27.01,28.377038531231836,-22.306926263245916,8.43
142,EMDE,132.0,183.42,6.56,n.a,42.42,n.a,-53.26 B,9.5,0.7196597971867845,n.a,1.45
143,DMAS,210.0,157.56,14.76,82.29716511798635,9.28,247.45,+692.73 B,n.a,1.3328255902513328,2.5517282363120395,n.a
144,PALM,435.0,227.62,5.12,-356.06543538721303,120.98,1.38,-495.91 B,-39.15,1.911079869958703,-1.2216855576755083,3.21
145,MYTX,51.0,-201.23,-9.08,n.a,n.a,-1.18,-75.80 B,-0.67,-0.2534413357849227,n.a,0.09
146,ASBI,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
147,MNCN,1715.0,608.18,18.03,194.9115025146475,35.92,38.75,-104.10 B,24.17,2.81988884869611,8.798865012449014,5.34
148,ITMG,5800.0,11750.13,20.78,3115.3274547924616,n.a,n.a,+1.85 T,4.45,0.49361156004231443,1.861762554391377,0.75
149,ITMA,11600.0,45747.14,40.58,737.8234155649693,n.a,n.a,-1.97 B,n.a,0.2535677640175976,15.72191903277778,n.a
150,SPMA,100.0,494.73,3.07,-471.7429001956205,148.5,2.09,-46.36 B,-3.54,0.20213045499565419,-0.21197987284712158,0.19
151,SUPR,8400.0,4503.53,-6.38,-6690.875346521898,542.52,1.73,+11.22 B,85.88,1.8652035181291122,-1.2554411141983914,5.93
152,PKPK,50.0,206.82,-17.65,9.622553115194979,94.52,-1.18,+19.55 B,-0.55,0.24175611642974568,5.196126163340681,0.62
153,AMRT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
154,CSAP,385.0,251.62,12.69,-34.431313862233246,110.26,1.2,+5.41 B,23.83,1.5300850488832367,-11.18168192885302,0.23
155,NIRO,104.0,100.29,-4.55,0.47366376860529436,42.25,0.05,+55.32 B,-38.47,1.0369927211087844,219.56503092104467,15.82
156,INCO,1485.0,2708.76,8.69,252.5844933389946,10.23,19.69,+2.84 T,12.82,0.5482213263633544,5.879220772302027,2.92
157,KICI,265.0,592.68,6.16,346.8471475730529,7.91,8.11,+788.34 M,17.16,0.44712154957143824,0.7640253115940235,0.36
158,BBHI,94.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
159,STAR,51.0,101.72,0.04,35.451485402813844,55.85,1.42,-33.30 B,1730.04,0.5013763271726308,1.4385857015726637,1.05
160,PANR,448.0,236.35,6.55,-254.43597114074984,259.96,1.67,-90.31 B,12.99,1.8954939708060081,-1.7607573252768323,0.3
161,MREI,6000.0,1462.92,25.32,n.a,n.a,n.a,+71.34 B,18.65,4.101386268558772,n.a,2.35
162,BMRI,9100.0,4754.27,17.16,n.a,52.48,n.a,+9.45 T,10.91,1.9140688265496069,n.a,2.97
163,OMRE,308.0,356.97,n.a,n.a,n.a,n.a,-9.64 B,4.85,0.8628176037202006,n.a,2.42
164,BNGA,610.0,1123.66,5.6,n.a,69.09,n.a,+4.32 T,48.78,0.5428688393286225,n.a,0.91
165,MTDL,660.0,434.95,23.21,311.35704812721764,21.9,7.74,+292.83 B,7.92,1.5174157949189562,2.1197528816830573,0.16
166,BIMA,360.0,-2349.95,n.a,n.a,n.a,2.91,+10.47 B,-2.79,-0.1531947488244431,n.a,0.17
167,ASMI,1210.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
168,LPLI,187.0,1965.16,25.21,1021.4523172691864,0.2,-161.31,-30.91 B,-1.36,0.09515764619674734,0.18307266706285158,7.5
169,PNLF,184.0,511.16,10.71,n.a,n.a,n.a,+1.52 T,6.5,0.35996556851083805,n.a,2.07
170,MRAT,207.0,899.43,1.93,638.8953615504706,8.23,4.22,-29.17 B,16.25,0.2301457589806878,0.32399671754957277,0.34
171,KLBF,1325.0,214.02,23.55,117.12248759052602,3.16,51.22,+1.57 T,31.03,6.191010185963928,11.312942776901696,4.94
172,TIFA,147.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
173,BKSW,330.0,266.59,6.37,n.a,81.69,n.a,+65.93 B,19.7,1.2378558835665254,n.a,2.13
174,SQMI,1645.0,-76.44,n.a,n.a,n.a,14.08,+2.51 B,-29.02,-21.520146520146522,n.a,2.62
175,BKSL,57.0,171.72,0.84,n.a,25.27,n.a,-44.08 B,-19.42,0.33193570929419985,n.a,4.25
176,BAJA,85.0,61.44,7.77,-107.93375374126285,163.16,1.56,-150.89 B,-2.14,1.3834635416666667,-0.7875200949997598,0.43
