date 	price
28/07/2012 	1.306077
29/07/2012 	1.308082
30/07/2012 	1.307757
31/07/2012 	1.307928
01/08/2012 	1.308903
02/08/2012 	1.309455
03/08/2012 	1.306206
04/08/2012 	1.311238
05/08/2012 	1.312444
06/08/2012 	1.312444
07/08/2012 	1.312173
08/08/2012 	1.311320
09/08/2012 	1.315703
10/08/2012 	1.316165
11/08/2012 	1.314861
12/08/2012 	1.315881
13/08/2012 	1.315575
14/08/2012 	1.309598
15/08/2012 	1.308090
16/08/2012 	1.312556
17/08/2012 	1.313617
18/08/2012 	1.306978
19/08/2012 	1.306604
20/08/2012 	1.306709
21/08/2012 	1.309677
22/08/2012 	1.310599
23/08/2012 	1.306094
24/08/2012 	1.302935
25/08/2012 	1.301870
26/08/2012 	1.301435
27/08/2012 	1.302071
28/08/2012 	1.299003
29/08/2012 	1.299945
30/08/2012 	1.298632
31/08/2012 	1.290416
01/09/2012 	1.288870
02/09/2012 	1.287662
03/09/2012 	1.287518
04/09/2012 	1.276699
05/09/2012 	1.274954
06/09/2012 	1.271262
07/09/2012 	1.279316
08/09/2012 	1.284399
09/09/2012 	1.283479
10/09/2012 	1.285010
11/09/2012 	1.278593
12/09/2012 	1.283948
13/09/2012 	1.284954
14/09/2012 	1.290309
15/09/2012 	1.288600
16/09/2012 	1.286852
17/09/2012 	1.286377
18/09/2012 	1.281100
19/09/2012 	1.279370
20/09/2012 	1.283393
21/09/2012 	1.276312
22/09/2012 	1.280753
23/09/2012 	1.281099
24/09/2012 	1.281099
25/09/2012 	1.279240
26/09/2012 	1.277494
27/09/2012 	1.275798
28/09/2012 	1.281821
29/09/2012 	1.273349
30/09/2012 	1.273791
01/10/2012 	1.273858
02/10/2012 	1.274733
03/10/2012 	1.263083
04/10/2012 	1.258669
05/10/2012 	1.260433
06/10/2012 	1.252625
07/10/2012 	1.251387
08/10/2012 	1.252318
09/10/2012 	1.255826
10/10/2012 	1.254014
11/10/2012 	1.258028
12/10/2012 	1.261984
13/10/2012 	1.249412
14/10/2012 	1.250895
15/10/2012 	1.251088
16/10/2012 	1.252830
17/10/2012 	1.252824
18/10/2012 	1.261411
19/10/2012 	1.264960
20/10/2012 	1.260858
21/10/2012 	1.261650
22/10/2012 	1.261650
23/10/2012 	1.260757
24/10/2012 	1.256602
25/10/2012 	1.264788
26/10/2012 	1.262994
27/10/2012 	1.263973
28/10/2012 	1.266470
29/10/2012 	1.266773
30/10/2012 	1.261857
31/10/2012 	1.263967
