date 	price
19/09/2012 	1.303781
20/09/2012 	1.305279
21/09/2012 	1.295035
22/09/2012 	1.299883
23/09/2012 	1.297993
24/09/2012 	1.297943
25/09/2012 	1.292223
26/09/2012 	1.294968
27/09/2012 	1.285843
28/09/2012 	1.291489
29/09/2012 	1.285926
30/09/2012 	1.285793
01/10/2012 	1.285644
02/10/2012 	1.289324
03/10/2012 	1.293494
04/10/2012 	1.290323
05/10/2012 	1.302847
06/10/2012 	1.303016
07/10/2012 	1.304002
08/10/2012 	1.303900
09/10/2012 	1.297215
10/10/2012 	1.287830
11/10/2012 	1.289241
12/10/2012 	1.294163
13/10/2012 	1.294834
14/10/2012 	1.295303
15/10/2012 	1.295656
16/10/2012 	1.295169
17/10/2012 	1.304546
18/10/2012 	1.312336
19/10/2012 	1.310616
20/10/2012 	1.302847
21/10/2012 	1.302202
22/10/2012 	1.302202
23/10/2012 	1.305995
24/10/2012 	1.297606
25/10/2012 	1.294683
26/10/2012 	1.295840
27/10/2012 	1.292654
28/10/2012 	1.294197
29/10/2012 	1.294549
30/10/2012 	1.289823
31/10/2012 	1.297066
01/11/2012 	1.297000
02/11/2012 	1.293996
03/11/2012 	1.284274
04/11/2012 	1.283598
05/11/2012 	1.283598
06/11/2012 	1.279296
07/11/2012 	1.282002
08/11/2012 	1.276161
09/11/2012 	1.274389
10/11/2012 	1.271779
11/11/2012 	1.270535
12/11/2012 	1.270939
13/11/2012 	1.271294
14/11/2012 	1.271700
15/11/2012 	1.274405
16/11/2012 	1.278445
17/11/2012 	1.271344
18/11/2012 	1.274405
19/11/2012 	1.274340
20/11/2012 	1.280820
21/11/2012 	1.281394
22/11/2012 	1.281805
23/11/2012 	1.287001
24/11/2012 	1.295790
25/11/2012 	1.297791
26/11/2012 	1.297648
27/11/2012 	1.296596
28/11/2012 	1.294080
29/11/2012 	1.292290
30/11/2012 	1.295589
01/12/2012 	1.300813
02/12/2012 	1.298701
03/12/2012 	1.298701
04/12/2012 	1.306349
05/12/2012 	1.308130
06/12/2012 	1.307412
07/12/2012 	1.296750
08/12/2012 	1.293494
09/12/2012 	1.292708
10/12/2012 	1.292708
11/12/2012 	1.292990
12/12/2012 	1.299215
13/12/2012 	1.304010
14/12/2012 	1.307900
15/12/2012 	1.313111
16/12/2012 	1.316300
17/12/2012 	1.316144
18/12/2012 	1.316760
19/12/2012 	1.322420
20/12/2012 	1.325732
21/12/2012 	1.322139
22/12/2012 	1.316742
23/12/2012 	1.318948
24/12/2012 	1.318948
25/12/2012 	1.317957
26/12/2012 	1.318652
27/12/2012 	1.322052
28/12/2012 	1.322664
29/12/2012 	1.321528
30/12/2012 	1.321702
31/12/2012 	1.321702
01/01/2013 	1.318475
02/01/2013 	1.319993
03/01/2013 	1.319757
04/01/2013 	1.310917
05/01/2013 	1.305364
06/01/2013 	1.306899
07/01/2013 	1.306899
08/01/2013 	1.310187
09/01/2013 	1.306726
10/01/2013 	1.307205
11/01/2013 	1.321615
12/01/2013 	1.335559
13/01/2013 	1.334490
14/01/2013 	1.334490
15/01/2013 	1.336863
16/01/2013 	1.334075
17/01/2013 	1.330410
18/01/2013 	1.335559
19/01/2013 	1.329699
20/01/2013 	1.331904
21/01/2013 	1.331904
22/01/2013 	1.331469
23/01/2013 	1.330005
24/01/2013 	1.330495
25/01/2013 	1.337345
26/01/2013 	1.345696
27/01/2013 	1.346103
28/01/2013 	1.346103
29/01/2013 	1.346167
30/01/2013 	1.347618
31/01/2013 	1.356392
01/02/2013 	1.358050
02/02/2013 	1.369394
03/02/2013 	1.364350
04/02/2013 	1.364005
05/02/2013 	1.353702
06/02/2013 	1.357128
07/02/2013 	1.353088
08/02/2013 	1.338895
09/02/2013 	1.337345
10/02/2013 	1.336604
11/02/2013 	1.336604
12/02/2013 	1.341382
13/02/2013 	1.345299
14/02/2013 	1.344538
15/02/2013 	1.332889
16/02/2013 	1.336170
17/02/2013 	1.336693
18/02/2013 	1.336407
19/02/2013 	1.334900
20/02/2013 	1.339136
21/02/2013 	1.334950
22/02/2013 	1.320555
23/02/2013 	1.317000
24/02/2013 	1.319096
25/02/2013 	1.319096
26/02/2013 	1.318899
27/02/2013 	1.305400
28/02/2013 	1.310110
01/03/2013 	1.308644
02/03/2013 	1.297943
04/03/2013 	1.302202
05/03/2013 	1.299365
06/03/2013 	1.301829
07/03/2013 	1.298954
08/03/2013 	1.309390
09/03/2013 	1.298954
10/03/2013 	1.300500
11/03/2013 	1.300500
12/03/2013 	1.301439
13/03/2013 	1.302635
14/03/2013 	1.295295
15/03/2013 	1.300715
16/03/2013 	1.305740
17/03/2013 	1.307899
18/03/2013 	1.307899
19/03/2013 	1.297522
20/03/2013 	1.285645
21/03/2013 	1.294582
22/03/2013 	1.290989
23/03/2013 	1.298470
26/03/2013 	1.285849
27/03/2013 	1.285495
28/03/2013 	1.277485
29/03/2013 	1.281935
30/03/2013 	1.281394
31/03/2013 	1.282249
01/04/2013 	1.282249
02/04/2013 	1.285264
03/04/2013 	1.283368
04/04/2013 	1.284282
05/04/2013 	1.287830
06/04/2013 	1.301660
07/04/2013 	1.292207
08/04/2013 	1.299106
09/04/2013 	1.301152
10/04/2013 	1.309072
11/04/2013 	1.306204
12/04/2013 	1.311875
13/04/2013 	1.309586
14/04/2013 	1.311200
15/04/2013 	1.311398
16/04/2013 	1.307400
17/04/2013 	1.319514
18/04/2013 	1.303630
19/04/2013 	1.306677
20/04/2013 	1.307446
21/04/2013 	1.305100
22/04/2013 	1.305202
23/04/2013 	1.305057
24/04/2013 	1.300137
25/04/2013 	1.301500
26/04/2013 	1.301625
27/04/2013 	1.302592
28/04/2013 	1.303050
29/04/2013 	1.303050
30/04/2013 	1.309500
01/05/2013 	1.315270
02/05/2013 	1.319923
03/05/2013 	1.306797
04/05/2013 	1.310530
05/05/2013 	1.311802
06/05/2013 	1.311802
07/05/2013 	1.307617
08/05/2013 	1.308699
09/05/2013 	1.316482
10/05/2013 	1.309672
11/05/2013 	1.297901
12/05/2013 	1.299300
13/05/2013 	1.299300
14/05/2013 	1.297495
15/05/2013 	1.294450
16/05/2013 	1.287605
17/05/2013 	1.291056
18/05/2013 	1.283714
19/05/2013 	1.283895
20/05/2013 	1.283895
21/05/2013 	1.287550
22/05/2013 	1.290716
23/05/2013 	1.286670
24/05/2013 	1.293845
25/05/2013 	1.292250
26/05/2013 	1.293193
27/05/2013 	1.293193
28/05/2013 	1.292840
29/05/2013 	1.286324
30/05/2013 	1.292917
31/05/2013 	1.305560
01/06/2013 	1.296714
02/06/2013 	1.299596
03/06/2013 	1.299900
04/06/2013 	1.310152
05/06/2013 	1.306114
06/06/2013 	1.309010
07/06/2013 	1.324035
08/06/2013 	1.322660
09/06/2013 	1.322297
10/06/2013 	1.322297
11/06/2013 	1.325525
12/06/2013 	1.327800
13/06/2013 	1.332509
14/06/2013 	1.334519
15/06/2013 	1.333387
16/06/2013 	1.334695
17/06/2013 	1.334695
18/06/2013 	1.333799
19/06/2013 	1.340833
20/06/2013 	1.340180
21/06/2013 	1.322525
22/06/2013 	1.314700
23/06/2013 	1.312302
24/06/2013 	1.312302
25/06/2013 	1.312020
26/06/2013 	1.308966
27/06/2013 	1.300499
28/06/2013 	1.303801
29/06/2013 	1.300796
30/06/2013 	1.300999
01/07/2013 	1.300999
02/07/2013 	1.306353
03/07/2013 	1.299766
04/07/2013 	1.300650
05/07/2013 	1.291700
06/07/2013 	1.283385
07/07/2013 	1.283302
08/07/2013 	1.283302
09/07/2013 	1.286000
10/07/2013 	1.276824
11/07/2013 	1.285430
12/07/2013 	1.304589
13/07/2013 	1.306600
14/07/2013 	1.306694
15/07/2013 	1.306694
16/07/2013 	1.306545
17/07/2013 	1.314345
18/07/2013 	1.314320
19/07/2013 	1.311144
20/07/2013 	1.314000
21/07/2013 	1.314501
22/07/2013 	1.314501
23/07/2013 	1.319455
24/07/2013 	1.322000
25/07/2013 	1.318452
26/07/2013 	1.324615
27/07/2013 	1.328356
28/07/2013 	1.327898
29/07/2013 	1.327898
30/07/2013 	1.325583
31/07/2013 	1.325047
01/08/2013 	1.328895
02/08/2013 	1.321798
03/08/2013 	1.328462
04/08/2013 	1.328198
05/08/2013 	1.328198
06/08/2013 	1.325995
07/08/2013 	1.330088
08/08/2013 	1.333999
09/08/2013 	1.338599
10/08/2013 	1.334689
11/08/2013 	1.334205
12/08/2013 	1.334205
13/08/2013 	1.330750
14/08/2013 	1.325849
15/08/2013 	1.324863
16/08/2013 	1.333502
17/08/2013 	1.332108
18/08/2013 	1.332676
19/08/2013 	1.333005
20/08/2013 	1.334463
21/08/2013 	1.341605
22/08/2013 	1.337300
23/08/2013 	1.336529
24/08/2013 	1.338555
25/08/2013 	1.338195
26/08/2013 	1.338195
27/08/2013 	1.336800
28/08/2013 	1.339200
29/08/2013 	1.332870
30/08/2013 	1.324512
31/08/2013 	1.321100
01/09/2013 	1.322104
02/09/2013 	1.322297
03/09/2013 	1.319601
04/09/2013 	1.317271
05/09/2013 	1.320550
06/09/2013 	1.311986
07/09/2013 	1.316289
08/09/2013 	1.318001
09/09/2013 	1.318001
10/09/2013 	1.326779
11/09/2013 	1.326797
12/09/2013 	1.331505
13/09/2013 	1.329900
14/09/2013 	1.330199
15/09/2013 	1.329902
16/09/2013 	1.329902
17/09/2013 	1.333999
18/09/2013 	1.335970
19/09/2013 	1.337160
20/09/2013 	1.352677
21/09/2013 	1.353355
22/09/2013 	1.352402
23/09/2013 	1.352402
24/09/2013 	1.350065
25/09/2013 	1.348530
26/09/2013 	1.352500
27/09/2013 	1.348299
28/09/2013 	1.352465
29/09/2013 	1.352210
30/09/2013 	1.352201
01/10/2013 	1.353555
02/10/2013 	1.353065
03/10/2013 	1.358580
04/10/2013 	1.362101
05/10/2013 	1.355252
06/10/2013 	1.355794
07/10/2013 	1.355794
08/10/2013 	1.357600
09/10/2013 	1.357400
10/10/2013 	1.351500
11/10/2013 	1.353006
12/10/2013 	1.353905
13/10/2013 	1.354197
14/10/2013 	1.354197
15/10/2013 	1.357860
16/10/2013 	1.350025
17/10/2013 	1.351201
18/10/2013 	1.366695
19/10/2013 	1.369200
20/10/2013 	1.368298
21/10/2013 	1.368298
22/10/2013 	1.367700
23/10/2013 	1.378365
24/10/2013 	1.378949
25/10/2013 	1.380701
26/10/2013 	1.379681
27/10/2013 	1.380500
28/10/2013 	1.380500
29/10/2013 	1.379100
30/10/2013 	1.374429
31/10/2013 	1.376699
01/11/2013 	1.358705
02/11/2013 	1.349200
03/11/2013 	1.348809
04/11/2013 	1.348809
05/11/2013 	1.351370
06/11/2013 	1.347155
07/11/2013 	1.352946
08/11/2013 	1.339005
09/11/2013 	1.335770
10/11/2013 	1.336720
11/11/2013 	1.336997
12/11/2013 	1.340700
13/11/2013 	1.342895
14/11/2013 	1.345765
15/11/2013 	1.346756
16/11/2013 	1.348000
17/11/2013 	1.349637
18/11/2013 	1.349792
19/11/2013 	1.351985
20/11/2013 	1.353000
21/11/2013 	1.345336
22/11/2013 	1.347121
23/11/2013 	1.355001
24/11/2013 	1.355702
25/11/2013 	1.355702
26/11/2013 	1.349905
27/11/2013 	1.355605
28/11/2013 	1.356625
29/11/2013 	1.360100
30/11/2013 	1.359846
01/12/2013 	1.359296
02/12/2013 	1.359296
03/12/2013 	1.355004
04/12/2013 	1.360452
05/12/2013 	1.356040
06/12/2013 	1.366980
07/12/2013 	1.369535
08/12/2013 	1.370398
09/12/2013 	1.370398
10/12/2013 	1.372203
11/12/2013 	1.377003
12/12/2013 	1.379501
13/12/2013 	1.375230
14/12/2013 	1.373105
15/12/2013 	1.374202
16/12/2013 	1.374202
17/12/2013 	1.375950
18/12/2013 	1.375140
19/12/2013 	1.376160
20/12/2013 	1.366725
21/12/2013 	1.367264
22/12/2013 	1.367194
23/12/2013 	1.367194
24/12/2013 	1.370400
25/12/2013 	1.367800
26/12/2013 	1.367895
27/12/2013 	1.368900
28/12/2013 	1.376505
29/12/2013 	1.374202
30/12/2013 	1.374202
31/12/2013 	1.381502
01/01/2014 	1.377570
02/01/2014 	1.374297
03/01/2014 	1.367380
04/01/2014 	1.360485
05/01/2014 	1.358797
06/01/2014 	1.358797
07/01/2014 	1.363596
08/01/2014 	1.361406
09/01/2014 	1.358705
10/01/2014 	1.359102
11/01/2014 	1.366025
12/01/2014 	1.367101
13/01/2014 	1.367101
14/01/2014 	1.364396
15/01/2014 	1.367750
16/01/2014 	1.360440
17/01/2014 	1.360150
18/01/2014 	1.355560
19/01/2014 	1.354105
20/01/2014 	1.354105
21/01/2014 	1.356274
22/01/2014 	1.356459
23/01/2014 	1.355500
24/01/2014 	1.367750
25/01/2014 	1.367512
26/01/2014 	1.367606
27/01/2014 	1.367606
28/01/2014 	1.367587
29/01/2014 	1.365835
30/01/2014 	1.366200
31/01/2014 	1.354590
01/02/2014 	1.350265
02/02/2014 	1.348809
03/02/2014 	1.348809
04/02/2014 	1.352750
05/02/2014 	1.350820
06/02/2014 	1.351650
07/02/2014 	1.359836
08/02/2014 	1.361204
09/02/2014 	1.363503
10/02/2014 	1.363503
11/02/2014 	1.364526
12/02/2014 	1.365420
13/02/2014 	1.359010
14/02/2014 	1.366890
15/02/2014 	1.369000
16/02/2014 	1.369197
17/02/2014 	1.369197
18/02/2014 	1.370635
19/02/2014 	1.375550
20/02/2014 	1.376105
21/02/2014 	1.369465
22/02/2014 	1.372467
23/02/2014 	1.374004
24/02/2014 	1.374004
25/02/2014 	1.373995
26/02/2014 	1.374807
27/02/2014 	1.366680
28/02/2014 	1.371280
01/03/2014 	1.380548
02/03/2014 	1.380100
03/03/2014 	1.380100
04/03/2014 	1.376375
05/03/2014 	1.372890
06/03/2014 	1.373170
07/03/2014 	1.384579
08/03/2014 	1.386789
09/03/2014 	1.388002
10/03/2014 	1.388002
11/03/2014 	1.387790
12/03/2014 	1.385971
13/03/2014 	1.390870
14/03/2014 	1.390610
15/03/2014 	1.391315
16/03/2014 	1.391498
17/03/2014 	1.391498
18/03/2014 	1.392506
19/03/2014 	1.391230
20/03/2014 	1.391585
21/03/2014 	1.378710
22/03/2014 	1.379200
23/03/2014 	1.379796
24/03/2014 	1.379796
25/03/2014 	1.378850
26/03/2014 	1.380425
27/03/2014 	1.378500
28/03/2014 	1.374756
29/03/2014 	1.374689
30/03/2014 	1.375298
31/03/2014 	1.375298
01/04/2014 	1.376499
02/04/2014 	1.379770
03/04/2014 	1.376225
04/04/2014 	1.371510
05/04/2014 	1.369900
06/04/2014 	1.370605
07/04/2014 	1.370605
08/04/2014 	1.374100
09/04/2014 	1.379601
10/04/2014 	1.380540
11/04/2014 	1.388530
12/04/2014 	1.389695
13/04/2014 	1.388503
14/04/2014 	1.388503
15/04/2014 	1.382520
16/04/2014 	1.381215
17/04/2014 	1.382141
18/04/2014 	1.382304
19/04/2014 	1.381597
20/04/2014 	1.381502
21/04/2014 	1.381502
22/04/2014 	1.379396
23/04/2014 	1.380053
24/04/2014 	1.381492
25/04/2014 	1.382552
26/04/2014 	1.383796
27/04/2014 	1.383403
28/04/2014 	1.383298
29/04/2014 	1.384890
30/04/2014 	1.381000
01/05/2014 	1.386494
02/05/2014 	1.386869
03/05/2014 	1.387370
04/05/2014 	1.387473
05/05/2014 	1.387598
06/05/2014 	1.387861
07/05/2014 	1.393160
08/05/2014 	1.391304
09/05/2014 	1.385485
10/05/2014 	1.375644
11/05/2014 	1.375998
12/05/2014 	1.375998
13/05/2014 	1.375805
14/05/2014 	1.369816
15/05/2014 	1.370615
16/05/2014 	1.371860
17/05/2014 	1.369550
18/05/2014 	1.369357
19/05/2014 	1.369497
20/05/2014 	1.371347
21/05/2014 	1.369250
22/05/2014 	1.366270
23/05/2014 	1.364855
24/05/2014 	1.363400
25/05/2014 	1.363001
26/05/2014 	1.363401
27/05/2014 	1.364555
28/05/2014 	1.361840
29/05/2014 	1.359370
30/05/2014 	1.360202
31/05/2014 	1.364015
01/06/2014 	1.363187
02/06/2014 	1.363187
03/06/2014 	1.359940
04/06/2014 	1.362834
05/06/2014 	1.360350
06/06/2014 	1.366326
07/06/2014 	1.363820
08/06/2014 	1.364201
09/06/2014 	1.364201
10/06/2014 	1.358668
11/06/2014 	1.353830
12/06/2014 	1.353415
13/06/2014 	1.356190
14/06/2014 	1.353505
15/06/2014 	1.353995
16/06/2014 	1.353995
17/06/2014 	1.356824
18/06/2014 	1.354000
19/06/2014 	1.357489
20/06/2014 	1.360610
21/06/2014 	1.359010
22/06/2014 	1.360100
23/06/2014 	1.360100
24/06/2014 	1.360109
25/06/2014 	1.359508
26/06/2014 	1.363540
27/06/2014 	1.361239
28/06/2014 	1.364195
29/06/2014 	1.364871
30/06/2014 	1.364871
01/07/2014 	1.369403
02/07/2014 	1.368691
03/07/2014 	1.365383
04/07/2014 	1.360905
05/07/2014 	1.359398
06/07/2014 	1.359702
07/07/2014 	1.359702
08/07/2014 	1.360500
09/07/2014 	1.361210
10/07/2014 	1.362600
11/07/2014 	1.360200
12/07/2014 	1.360610
13/07/2014 	1.360905
14/07/2014 	1.360905
15/07/2014 	1.361025
16/07/2014 	1.356905
17/07/2014 	1.352235
18/07/2014 	1.352355
19/07/2014 	1.353021
20/07/2014 	1.352402
21/07/2014 	1.352402
22/07/2014 	1.351982
23/07/2014 	1.346805
24/07/2014 	1.346300
25/07/2014 	1.346755
26/07/2014 	1.343192
27/07/2014 	1.343102
28/07/2014 	1.343102
29/07/2014 	1.344005
30/07/2014 	1.341134
31/07/2014 	1.337998
01/08/2014 	1.339109
02/08/2014 	1.342723
03/08/2014 	1.343102
04/08/2014 	1.343102
05/08/2014 	1.342004
